,region,unit_id,title,movieid,tweet_count,reason,senti_class,senti_percentage
0,South East,41421,Avengers: Endgame,121,786,all movies,All,
1,North East,41422,Avengers: Endgame,121,374,all movies,All,
2,East Midlands,41423,Avengers: Endgame,121,375,all movies,All,
3,Wales,41424,Spider-Man: Far From Home,20,351,all movies,All,
4,East,41425,Avengers: Endgame,121,568,all movies,All,
5,West Midlands,41426,Avengers: Endgame,121,630,all movies,All,
6,South West,41427,Avengers: Endgame,121,553,all movies,All,
7,London,41428,Avengers: Endgame,121,1941,all movies,All,
8,Scotland,41429,Avengers: Endgame,121,711,all movies,All,
9,Yorkshire and the Humber,41430,Avengers: Endgame,121,623,all movies,All,
10,North West,41431,Avengers: Endgame,121,930,all movies,All,
11,South East,41421,Avengers: Endgame,121,344,all movies,positive,
12,North East,41422,Joker,59,165,all movies,positive,
13,East Midlands,41423,Avengers: Endgame,121,179,all movies,positive,
14,Wales,41424,Spider-Man: Far From Home,20,160,all movies,positive,
15,East,41425,Avengers: Endgame,121,258,all movies,positive,
16,West Midlands,41426,Avengers: Endgame,121,324,all movies,positive,
17,South West,41427,Spider-Man: Far From Home,20,296,all movies,positive,
18,London,41428,Avengers: Endgame,121,839,all movies,positive,
19,Scotland,41429,Avengers: Endgame,121,356,all movies,positive,
20,Yorkshire and the Humber,41430,Avengers: Endgame,121,281,all movies,positive,
21,North West,41431,Avengers: Endgame,121,416,all movies,positive,
22,South East,41421,Green Book,142,63,all movies,positive (Percentage),77.77777777777779
23,North East,41422,Alita: Battle Angel,147,19,all movies,positive (Percentage),82.6086956521739
24,East Midlands,41423,Green Book,142,25,all movies,positive (Percentage),80.64516129032258
25,Wales,41424,Last Christmas,37,18,all movies,positive (Percentage),66.66666666666666
26,East,41425,Green Book,142,47,all movies,positive (Percentage),78.33333333333333
27,West Midlands,41426,Knives Out,35,35,all movies,positive (Percentage),76.08695652173914
28,South West,41427,Green Book,142,31,all movies,positive (Percentage),83.78378378378379
29,London,41428,Instant Family,139,41,all movies,positive (Percentage),74.54545454545455
30,Scotland,41429,Instant Family,139,30,all movies,positive (Percentage),78.94736842105263
31,Yorkshire and the Humber,41430,Fighting With My Family,134,53,all movies,positive (Percentage),79.1044776119403
32,North West,41431,Green Book,142,55,all movies,positive (Percentage),78.57142857142857
33,South East,41421,Avengers: Endgame,121,124,all movies,negative,
34,North East,41422,Avengers: Endgame,121,65,all movies,negative,
35,East Midlands,41423,Avengers: Endgame,121,59,all movies,negative,
36,Wales,41424,Avengers: Endgame,121,52,all movies,negative,
37,East,41425,Avengers: Endgame,121,88,all movies,negative,
38,West Midlands,41426,Avengers: Endgame,121,95,all movies,negative,
39,South West,41427,Avengers: Endgame,121,87,all movies,negative,
40,London,41428,Avengers: Endgame,121,319,all movies,negative,
41,Scotland,41429,Avengers: Endgame,121,138,all movies,negative,
42,Yorkshire and the Humber,41430,Avengers: Endgame,121,116,all movies,negative,
43,North West,41431,Avengers: Endgame,121,158,all movies,negative,
44,South East,41421,The Curse of La Llorona,248,17,all movies,negative (Percentage),54.83870967741935
45,North East,41422,Us,131,11,all movies,negative (Percentage),31.428571428571427
46,East Midlands,41423,Us,131,9,all movies,negative (Percentage),40.909090909090914
47,Wales,41424,X-Men: Dark Phoenix,205,12,all movies,negative (Percentage),34.285714285714285
48,East,41425,Hellboy,228,11,all movies,negative (Percentage),36.666666666666664
49,West Midlands,41426,Pet Sematary,220,13,all movies,negative (Percentage),28.26086956521739
50,South West,41427,John Wick: Chapter 3 - Parabellum,119,7,all movies,negative (Percentage),29.166666666666668
51,London,41428,Scary Stories To Tell In The Dark,22,11,all movies,negative (Percentage),37.93103448275862
52,Scotland,41429,Hellboy,228,20,all movies,negative (Percentage),29.411764705882355
53,Yorkshire and the Humber,41430,Pet Sematary,220,9,all movies,negative (Percentage),31.03448275862069
54,North West,41431,Hellboy,228,32,all movies,negative (Percentage),35.16483516483517
55,South East,41421,Rocketman,117,285,no blockbuster (profit),All,
56,North East,41422,Rocketman,117,71,no blockbuster (profit),All,
57,East Midlands,41423,Rocketman,117,132,no blockbuster (profit),All,
58,Wales,41424,It: Chapter Two,5,148,no blockbuster (profit),All,
59,East,41425,Fighting With My Family,134,201,no blockbuster (profit),All,
60,West Midlands,41426,Rocketman,117,143,no blockbuster (profit),All,
61,South West,41427,Shazam!,219,231,no blockbuster (profit),All,
62,London,41428,Rocketman,117,692,no blockbuster (profit),All,
63,Scotland,41429,Rocketman,117,247,no blockbuster (profit),All,
64,Yorkshire and the Humber,41430,Downton Abbey,1,156,no blockbuster (profit),All,
